C1	STARTS	ENDS	C2	CHR	STRAND	EXONTYPE	GID	GNAME	GBIOTYPE	EXMINL	EXMAXL	MINDISTC1START	MINDISTENDC2	EXON_ID	TOTALN_EXONS
23831751+23877865	23879949	23880028	23880729+23881061+23884311+23884752	chr4	-	vts	ENSG00000109819	ppargc1a	protein_coding	80	80	2083	700	10	27
23801881	23802224	23802345	23811890+23812237+23812747	chr4	-	intr_vts	ENSG00000109819	ppargc1a	protein_coding	122	122	342	9544	9	27
23884861+23884931+23890032+23890035+23890077+23890213	24091468	24091635	24258203	chr4	-	vts	ENSG00000109819	ppargc1a	protein_coding	168	168	201254	166567	8	27
23814605+23820638	23821325	23821431	23824280	chr4	-	vts	ENSG00000109819	ppargc1a	protein_coding	107	107	686	2848	7	27
23829585	23831557	23831751	23877714+23879949+23880729+23881061+23884311+23884752	chr4	-	sfrst_intr	ENSG00000109819	ppargc1a	protein_coding	195	195	1971	45962	6	27
23824508+23825249	23828400	23828604	23829463	chr4	-	intr_vts	ENSG00000109819	ppargc1a	protein_coding	205	205	3150	858	5	27
23814605+23820638+23821431	23824280	23824353+23824384	23824463	chr4	-	intr_vts	ENSG00000109819	ppargc1a	protein_coding	74	105	2848	78	4	27
23831751+23877865+23880028	23880729+23881061	23881292+23881309	23884311+23884752	chr4	-	frst_vts	ENSG00000109819	ppargc1a	protein_coding	232	581	700	3001	3	27
23824353+23824384	23824463	23824508	23825167+23828400	chr4	-	intr_vts	ENSG00000109819	ppargc1a	protein_coding	46	46	78	658	2	27
23828604	23829463	23829585	23831475+23831496+23831557+23831620	chr4	-	intr_vts	ENSG00000109819	ppargc1a	protein_coding	123	123	858	1889	1	27
NA	151674483	151676560	151677300	chr4	+	frst	ENSG00000251455	rp11-164p12.3	antisense	2078	2078	151674482	739	1	3
151676560	151677300	151677431	151677539	chr4	+	sfrst_slst	ENSG00000251455	rp11-164p12.3	antisense	132	132	739	107	2	3
151677431	151677539	151677893	NA	chr4	+	lst	ENSG00000251455	rp11-164p12.3	antisense	355	355	107	-151677894	3	3
103362088	103362686	103362758	103363344	chr7	+	intr_vts	ENSG00000161057	psmc2	protein_coding	73	73	597	585	1	13
103344342	103347524+103347712	103347781	103353921	chr7	+	frst_vts	ENSG00000161057	psmc2	protein_coding	70	258	3181	6139	2	13
103363439	103364143	103364307	103366076	chr7	+	intr	ENSG00000161057	psmc2	protein_coding	165	165	703	1768	3	13
103364307	103366076	103366163	103367413	chr7	+	intr_vts	ENSG00000161057	psmc2	protein_coding	88	88	1768	1249	4	13
103367615	103367713	103367809	103367897	chr7	+	slst_vts	ENSG00000161057	psmc2	protein_coding	97	97	97	87	5	13
103347781	103353921	103353958	103354868	chr7	+	sfrst_vts	ENSG00000161057	psmc2	protein_coding	38	38	6139	909	6	13
103355793+103356209	103361957	103362088	103362686	chr7	+	intr_vts	ENSG00000161057	psmc2	protein_coding	132	132	5747	597	7	13
103355793	103356170	103356209	103361957	chr7	+	vts	ENSG00000161057	psmc2	protein_coding	40	40	376	5747	8	13
103366163	103367413	103367615	103367713	chr7	+	intr_vts	ENSG00000161057	psmc2	protein_coding	203	203	1249	97	9	13
103353958	103354868	103354949	103355694	chr7	+	intr	ENSG00000161057	psmc2	protein_coding	82	82	909	744	10	13
103362758	103363344	103363439	103364143	chr7	+	intr	ENSG00000161057	psmc2	protein_coding	96	96	585	703	11	13
103354949	103355694	103355793	103356170+103361957	chr7	+	intr	ENSG00000161057	psmc2	protein_coding	100	100	744	376	12	13
103367809	103367897	103369389	NA	chr7	+	lst	ENSG00000161057	psmc2	protein_coding	1493	1493	87	-103369390	13	13
153484688	153486015	153486105	153502403	chr3	+	sfrst_slst_vts	ENSG00000237787	c3orf79	lincRNA	91	91	1326	16297	1	3
153486105	153502403	153502697	NA	chr3	+	lst	ENSG00000237787	c3orf79	lincRNA	295	295	16297	-153502698	2	3
NA	153484495	153484688	153486015	chr3	+	frst	ENSG00000237787	c3orf79	lincRNA	194	194	153484494	1326	3	3
175918172	175940271	175940350	175940444	chr5	-	vts	ENSG00000051596	thoc3	protein_coding	80	80	22098	93	10	10
175918172+175940350+175940530	175959527+175959920	175960132	175960219+175960930+175961051	chr5	-	lst_vts	ENSG00000051596	thoc3	protein_coding	213	606	18996	86	9	10
175967267	175967942	175968280+175968299	NA	chr5	-	frst	ENSG00000051596	thoc3	protein_coding	339	358	674	-175968300	8	10
175961434	175964951	175965155	175967111	chr5	-	intr_vts	ENSG00000051596	thoc3	protein_coding	205	205	3516	1955	7	10
175965155	175967111	175967267	175967942	chr5	-	sfrst_vts	ENSG00000051596	thoc3	protein_coding	157	157	1955	674	6	10
175967267+175968280+175968299	176007002	176007141	176011009	chr5	-	vts	ENSG00000051596	thoc3	protein_coding	140	140	38702	3867	5	10
175961151	175961273	175961434	175964951	chr5	-	intr_slst	ENSG00000051596	thoc3	protein_coding	162	162	121	3516	4	10
175960132	175960219+175961051	175961151	175961273	chr5	-	slst_lst_vts	ENSG00000051596	thoc3	protein_coding	101	933	86	121	3	10
175918172+175940350	175940444	175940530	175959527+175959920+175960219+175960930+175961051	chr5	-	vts	ENSG00000051596	thoc3	protein_coding	87	87	93	18996	2	10
176007141	176011009	176011099	176034566	chr5	-	vts	ENSG00000051596	thoc3	protein_coding	91	91	3867	23466	1	10
43506394	43508577	43508666	43509145	chr5	-	intr_vts	ENSG00000172244	c5orf34	protein_coding	90	90	2182	478	15	15
43502495	43503665	43503760	43505748	chr5	-	intr_vts	ENSG00000172244	c5orf34	protein_coding	96	96	1169	1987	14	15
43487949+43488989	43490631	43490729	43492215	chr5	-	intr_vts	ENSG00000172244	c5orf34	protein_coding	99	99	1641	1485	13	15
43503760	43505748	43506394	43508577	chr5	-	intr_vts	ENSG00000172244	c5orf34	protein_coding	647	647	1987	2182	12	15
NA	43486701	43487111	43487909	chr5	-	lst	ENSG00000172244	c5orf34	protein_coding	411	411	43486700	797	11	15
43509375	43509954	43510051	43514806	chr5	-	vts	ENSG00000172244	c5orf34	protein_coding	98	98	578	4754	10	15
43487949	43488874	43488989	43490631	chr5	-	vts	ENSG00000172244	c5orf34	protein_coding	116	116	924	1641	9	15
43492890	43493543	43493612	43494510	chr5	-	intr_vts	ENSG00000172244	c5orf34	protein_coding	70	70	652	897	8	15
43490729	43492215	43492309	43492720	chr5	-	intr_vts	ENSG00000172244	c5orf34	protein_coding	95	95	1485	410	7	15
43509375+43510051	43514806	43515145	NA	chr5	-	frst	ENSG00000172244	c5orf34	protein_coding	340	340	4754	-43515146	6	15
43508666	43509145	43509375	43509954+43514806	chr5	-	sfrst_vts	ENSG00000172244	c5orf34	protein_coding	231	231	478	578	5	15
43493612	43494510	43494601	43502372	chr5	-	intr_vts	ENSG00000172244	c5orf34	protein_coding	92	92	897	7770	4	15
43487111	43487909	43487949	43488874+43490631	chr5	-	slst_vts	ENSG00000172244	c5orf34	protein_coding	41	41	797	924	3	15
43492309	43492720	43492890	43493543	chr5	-	intr_vts	ENSG00000172244	c5orf34	protein_coding	171	171	410	652	2	15
43494601	43502372	43502495	43503665	chr5	-	intr_vts	ENSG00000172244	c5orf34	protein_coding	124	124	7770	1169	1	15
90885258	90885412	90885529+90885585	90886961	chr15	+	sfrst_intr_vts	ENSG00000182511	fes	protein_coding	118	174	153	1375	1	19
90894058	90895416	90895565+90895776	NA	chr15	+	lst	ENSG00000182511	fes	protein_coding	150	361	1357	-90895777	2	19
90887370	90889306	90889378+90889443	90889517	chr15	+	intr_lst_vts	ENSG00000182511	fes	protein_coding	73	138	1935	73	3	19
90893811	90893936	90894058	90895416	chr15	+	slst_vts	ENSG00000182511	fes	protein_coding	123	123	124	1357	4	19
90893414	90893654	90893811	90893936	chr15	+	intr_vts	ENSG00000182511	fes	protein_coding	158	158	239	124	5	19
90889636	90889840	90889962	90890092	chr15	+	intr_vts	ENSG00000182511	fes	protein_coding	123	123	203	129	6	19
NA	90884412+90884447	90884544+90884639	90885037	chr15	+	frst	ENSG00000182511	fes	protein_coding	98	228	90884411	397	7	19
90889962	90890092	90890278	90890401	chr15	+	intr_vts	ENSG00000182511	fes	protein_coding	187	187	129	122	8	19
90893194	90893291	90893414	90893654	chr15	+	intr_vts	ENSG00000182511	fes	protein_coding	124	124	96	239	9	19
90892111	90892707	90892825	90893100	chr15	+	intr_vts	ENSG00000182511	fes	protein_coding	119	119	595	274	10	19
90887057	90887187	90887370	90889306	chr15	+	intr_slst_vts	ENSG00000182511	fes	protein_coding	184	184	129	1935	11	19
90890484	90890982	90891191	90891554	chr15	+	intr_vts	ENSG00000182511	fes	protein_coding	210	210	497	362	12	19
90890278	90890401	90890484	90890982+90891554	chr15	+	intr_vts	ENSG00000182511	fes	protein_coding	84	84	122	497	13	19
90884544+90884639	90885037+90885046	90885258	90885412+90886961	chr15	+	frst_sfrst_vts	ENSG00000182511	fes	protein_coding	213	222	397	153	14	19
90885258+90885529+90885585	90886961	90887057	90887187	chr15	+	sfrst_intr_vts	ENSG00000182511	fes	protein_coding	97	97	1375	129	15	19
90889443	90889517	90889636	90889840	chr15	+	intr_vts	ENSG00000182511	fes	protein_coding	120	120	73	203	16	19
90892825	90893100	90893194	90893291	chr15	+	intr_vts	ENSG00000182511	fes	protein_coding	95	95	274	96	17	19
90891676	90892058	90892111	90892707	chr15	+	intr_vts	ENSG00000182511	fes	protein_coding	54	54	381	595	18	19
90890484+90891191	90891554	90891676	90892058	chr15	+	intr_vts	ENSG00000182511	fes	protein_coding	123	123	362	381	19	19
91473370	91475811+91475850	91475966	91476408	chr14	-	intr_vts	ENSG00000100796	ppp4r3a	protein_coding	117	156	2440	441	16	16
NA	91457611+91458139+91458330	91458869	91461381	chr14	-	lst	ENSG00000100796	ppp4r3a	protein_coding	540	1259	91457610	2511	15	16
91475966	91476408	91476479+91476524	91476909	chr14	-	intr_vts	ENSG00000100796	ppp4r3a	protein_coding	72	117	441	384	14	16
91473135	91473239	91473321+91473370	91475811+91475850	chr14	-	intr_vts	ENSG00000100796	ppp4r3a	protein_coding	83	132	103	2440	13	16
91465332+91465419+91466416	91470837	91470995	91473019+91473033	chr14	-	intr_vts	ENSG00000100796	ppp4r3a	protein_coding	159	159	4420	2023	12	16
91458869	91461381	91461607+91461684	91462049	chr14	-	frst_slst_vts	ENSG00000100796	ppp4r3a	protein_coding	227	304	2511	364	11	16
91462877	91465250	91465419	91466261+91470837	chr14	-	intr_vts	ENSG00000100796	ppp4r3a	protein_coding	170	170	2372	841	10	16
91476986+91482193+91485730	91490747	91490802	91509506	chr14	-	sfrst_vts	ENSG00000100796	ppp4r3a	protein_coding	56	56	5016	18703	9	16
91476986	91481576	91482193	91485632+91490747	chr14	-	intr_vts	ENSG00000100796	ppp4r3a	protein_coding	618	618	4589	3438	8	16
91470995	91473033	91473135	91473239	chr14	-	intr_vts	ENSG00000100796	ppp4r3a	protein_coding	103	103	2037	103	7	16
91461607+91461684	91462049+91462054	91462239	91462735	chr14	-	intr_lst_vts	ENSG00000100796	ppp4r3a	protein_coding	186	191	364	495	6	16
91476524	91476909	91476986	91481576+91485632+91490747	chr14	-	intr_vts	ENSG00000100796	ppp4r3a	protein_coding	78	78	384	4589	5	16
91490802	91509506	91510144+91510478+91510480	NA	chr14	-	frst	ENSG00000100796	ppp4r3a	protein_coding	639	975	18703	-91510481	4	16
91465332+91465419	91466261	91466416	91470837	chr14	-	vts	ENSG00000100796	ppp4r3a	protein_coding	156	156	841	4420	3	16
91482193	91485632	91485730	91490747	chr14	-	intr_vts	ENSG00000100796	ppp4r3a	protein_coding	99	99	3438	5016	2	16
91462239	91462735	91462877	91465250	chr14	-	intr_slst_vts	ENSG00000100796	ppp4r3a	protein_coding	143	143	495	2372	1	16
124930016	124940280	124940385	125000682+125020333	chr7	+	sfrst_vts	ENSG00000224897	pot1-as1	antisense	106	106	10263	60296	1	15
125151747	125153486	125153567	125160034	chr7	+	vts	ENSG00000224897	pot1-as1	antisense	82	82	1738	6466	2	15
125020413	125080712+125080715	125080813	125089690+125099404+125116874+125118629+125121642+125121644+125122981+125125825	chr7	+	intr_vts	ENSG00000224897	pot1-as1	antisense	99	102	60298	8876	3	15
124940385+125001012	125020333	125020413	125080712+125080715+125089690+125099404+125116874	chr7	+	intr_vts	ENSG00000224897	pot1-as1	antisense	81	81	19320	60298	4	15
125118722	125121642+125121644	125121843	125122981	chr7	+	intr_vts	ENSG00000224897	pot1-as1	antisense	200	202	2919	1137	5	15
124940385	125000682	125001012	125020333	chr7	+	intr_vts	ENSG00000224897	pot1-as1	antisense	331	331	60296	19320	6	15
125121843	125122981	125123075	125125825	chr7	+	intr_vts	ENSG00000224897	pot1-as1	antisense	95	95	1137	2749	7	15
125117028	125118629	125118722	125121642	chr7	+	intr_vts	ENSG00000224897	pot1-as1	antisense	94	94	1600	2919	8	15
125020413+125080813+125089776+125099513	125116874	125117028	125118629+125121642+125121644+125122981+125125825	chr7	+	intr_vts	ENSG00000224897	pot1-as1	antisense	155	155	17360	1600	9	15
NA	124929915+124929921	124930016	124940280	chr7	+	frst	ENSG00000224897	pot1-as1	antisense	96	102	124929914	10263	10	15
125080813	125089690	125089776	125099404+125116874+125118629+125121642+125121644+125122981+125125825	chr7	+	intr_vts	ENSG00000224897	pot1-as1	antisense	87	87	8876	9627	11	15
125138659	125142715	125142855+125144566+125145234	125153486	chr7	+	lst_vts	ENSG00000224897	pot1-as1	antisense	141	2520	4055	8251	12	15
125020413+125080813+125089776+125099513+125117028+125118722+125121843+125123075	125125825	125125977	125138573	chr7	+	intr_vts	ENSG00000224897	pot1-as1	antisense	153	153	2749	12595	13	15
125125977	125138573	125138659	125142715+125153486	chr7	+	slst_vts	ENSG00000224897	pot1-as1	antisense	87	87	12595	4055	14	15
125020413+125080813+125089776	125099404	125099513	125116874+125118629+125121642+125121644+125122981+125125825	chr7	+	vts	ENSG00000224897	pot1-as1	antisense	110	110	9627	17360	15	15
135290525	135297432	135297492	135300500	chr6	-	vts	ENSG00000135541	ahi1	protein_coding	61	61	6906	3007	45	45
135285647+135286548+135290525+135297492	135300500	135300558	135301408+135302670+135302712+135315902+135316076+135318519	chr6	-	intr_slst_vts	ENSG00000135541	ahi1	protein_coding	59	59	3007	849	44	45
135457713	135461607	135461657+135461726	135463125	chr6	-	vts	ENSG00000135541	ahi1	protein_coding	51	120	3893	1398	43	45
135467634	135490458+135490623	135490747	135491794+135492228	chr6	-	intr_lst_vts	ENSG00000135541	ahi1	protein_coding	125	290	22823	1046	42	45
135453436	135455734	135455926	135456189+135457494	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	193	193	2297	262	41	45
135442671+135442714	135447008	135447124+135447160	135448290	chr6	-	sfrst_intr_vts	ENSG00000135541	ahi1	protein_coding	117	153	4293	1129	40	45
135391561	135392324	135392355	135393379	chr6	-	vts	ENSG00000135541	ahi1	protein_coding	32	32	762	1023	39	45
135323324	135346675	135346796	135358132+135358150	chr6	-	vts	ENSG00000135541	ahi1	protein_coding	122	122	23350	11335	38	45
135300558+135301504+135301539	135302670+135302712	135302753+135302817	135315902+135316076+135318519	chr6	-	vts	ENSG00000135541	ahi1	protein_coding	42	148	1130	13084	37	45
135404977+135405856	135411348	135411544	135427167	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	197	197	5491	15622	36	45
135300558+135301504+135301539+135302753+135302817+135316040+135316079	135318519	135318616	135323162	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	98	98	2439	4545	35	45
135285642+135285647	135286399	135286548	135290423	chr6	-	vts	ENSG00000135541	ahi1	protein_coding	150	150	751	3874	34	45
135433256+135435232	135438375	135438498	135442582	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	124	124	3142	4083	33	45
135323324+135346796	135358132	135358187	135387784+135392324+135393379+135394776	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	56	56	11335	29596	32	45
135463306	135465814	135466373	135467581	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	560	560	2507	1207	31	45
135300558	135301408	135301504+135301539	135302670+135302712	chr6	-	vts	ENSG00000135541	ahi1	protein_coding	97	132	849	1130	30	45
135492291+135492378+135495709+135495898+135497249	135497583	135497745+135497765+135497776	NA	chr6	-	frst	ENSG00000135541	ahi1	protein_coding	163	194	333	-135497777	29	45
135492291+135492378+135495709	135495814	135495898	135497188+135497583	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	85	85	104	1289	28	45
135394896	135404951	135404977	135405735+135411348	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	27	27	10054	757	27	45
135455926	135456189	135456373	135457494	chr6	-	vts	ENSG00000135541	ahi1	protein_coding	185	185	262	1120	26	45
135457713+135461657+135461726	135463125	135463280+135463306	135465814	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	156	182	1398	2507	25	45
135300558+135301504+135301539+135302753+135302817+135316040	135316076	135316079	135318519	chr6	-	vts	ENSG00000135541	ahi1	protein_coding	4	4	35	2439	24	45
135455926+135456373	135457494	135457713	135461607+135463125	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	220	220	1120	3893	23	45
135358187+135388033+135391561+135392355+135393510	135394776	135394896	135404951	chr6	-	intr_slst_vts	ENSG00000135541	ahi1	protein_coding	121	121	1265	10054	22	45
135492291+135492378	135495313+135495539	135495709	135495814+135497188+135497583	chr6	-	vts	ENSG00000135541	ahi1	protein_coding	171	397	2934	104	21	45
135404977	135405735	135405856	135411348	chr6	-	vts	ENSG00000135541	ahi1	protein_coding	122	122	757	5491	20	45
135430000	135431208	135431314	135433027	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	107	107	1207	1712	19	45
135492291+135492378+135495709+135495898	135497188	135497249	135497583	chr6	-	sfrst_vts	ENSG00000135541	ahi1	protein_coding	62	62	1289	333	18	45
135285642+135285647+135286548	135290423	135290525	135297432+135300500	chr6	-	slst_vts	ENSG00000135541	ahi1	protein_coding	103	103	3874	6906	17	45
135300558+135301504+135301539+135302753+135302817	135315902	135316040	135316076+135318519	chr6	-	vts	ENSG00000135541	ahi1	protein_coding	139	139	13084	35	16	45
135411544	135427167	135427307	135428629+135429882+135431208	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	141	141	15622	1321	15	45
135448475	135453341	135453436	135455734	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	96	96	4865	2297	14	45
135392355	135393379	135393510	135394776	chr6	-	vts	ENSG00000135541	ahi1	protein_coding	132	132	1023	1265	13	45
NA	135283532+135283986+135285292+135285296	135285647	135286399+135290423+135297432+135300500	chr6	-	lst	ENSG00000135541	ahi1	protein_coding	352	2116	135283531	751	12	45
135490747+135491828	135492228	135492291+135492378	135495313+135495539+135495814+135497188+135497583	chr6	-	frst_sfrst_intr_vts	ENSG00000135541	ahi1	protein_coding	64	151	399	2934	11	45
135427307	135428629	135428754+135428759	135429882	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	126	131	1321	1122	10	45
135438498	135442582	135442714	135447008	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	133	133	4083	4293	9	45
135433170+135433256	135435157	135435232	135438375	chr6	-	vts	ENSG00000135541	ahi1	protein_coding	76	76	1900	3142	8	45
135466373	135467581	135467634	135490458+135490623	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	54	54	1207	22823	7	45
NA	135387784	135388033	135392324+135393379+135394776	chr6	-	lst	ENSG00000135541	ahi1	protein_coding	250	250	135387783	4290	6	45
135447160	135448290	135448414+135448475	135453341	chr6	-	frst_intr_vts	ENSG00000135541	ahi1	protein_coding	125	186	1129	4865	5	45
135431314	135433027	135433170+135433256	135435157+135438375	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	144	230	1712	1900	4	45
135490747	135491794	135491828	135492228	chr6	-	vts	ENSG00000135541	ahi1	protein_coding	35	35	1046	399	3	45
135428754+135428759	135429882	135430000	135431208	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	119	119	1122	1207	2	45
135318616	135323162	135323324	135346675+135358132+135358150	chr6	-	intr_vts	ENSG00000135541	ahi1	protein_coding	163	163	4545	23350	1	45
151693039	151693424	151693483	151693593	chr1	+	slst_vts	ENSG00000143376	snx27	protein_coding	60	60	384	109	1	16
151683445	151689385	151689446	151692435	chr1	+	vts	ENSG00000143376	snx27	protein_coding	62	62	5939	2988	2	16
151678332	151680177	151680453	151683356	chr1	+	vts	ENSG00000143376	snx27	protein_coding	277	277	1844	2902	3	16
151668635+151669651+151678332+151680453	151683356	151683445	151689385+151692435	chr1	+	intr_vts	ENSG00000143376	snx27	protein_coding	90	90	2902	5939	4	16
NA	151612065+151612082	151612381+151612512	151615784+151638856+151638888	chr1	+	frst	ENSG00000143376	snx27	protein_coding	300	448	151612064	3271	5	16
151692584	151692911	151693039	151693424	chr1	+	intr_vts	ENSG00000143376	snx27	protein_coding	129	129	326	384	6	16
151660862	151662166	151662270	151665933	chr1	+	intr_vts	ENSG00000143376	snx27	protein_coding	105	105	1303	3662	7	16
151612132+151612381+151612441+151612512+151615858+151639105+151639119+151658427+151660862+151662270+151666011	151668472+151668519	151668635	151669141+151680177+151683356	chr1	+	intr_vts	ENSG00000143376	snx27	protein_coding	117	164	2460	505	8	16
151683445+151689446	151692435	151692584	151692911	chr1	+	intr_vts	ENSG00000143376	snx27	protein_coding	150	150	2988	326	9	16
151612132+151612381+151612441+151612512+151615858+151639105+151639119+151658427+151660862+151662270	151665933	151666011	151668472+151668519+151669141+151680177+151683356	chr1	+	intr_vts	ENSG00000143376	snx27	protein_coding	79	79	3662	2460	10	16
151693483	151693593	151693601+151693647+151699078+151699091	151699098	chr1	+	lst_vts	ENSG00000143376	snx27	protein_coding	9	5499	109	6	11	16
151668635	151669141	151669651	151680177+151683356	chr1	+	vts	ENSG00000143376	snx27	protein_coding	511	511	505	10525	12	16
151612132+151612381+151612441+151612512+151615858	151638856+151638888	151639105+151639119	151658235	chr1	+	frst_sfrst_vts	ENSG00000143376	snx27	protein_coding	218	264	22997	19115	13	16
151612132+151612381+151612441+151612512	151615784	151615858	151638856+151638888	chr1	+	vts	ENSG00000143376	snx27	protein_coding	75	75	3271	22997	14	16
